filename,recommender,strategy,config,n_factors,learning_rate,regularization,epochs,batch_size,precision,recall,ndcg,epc,gini,aggregate_diversity
mf_5_no_filtering_f1024_lr0p005_reg0p15_ep100_bs1024.csv,mf,no_filtering,f1024_lr0.005_reg0.15_ep100_bs1024,1024,0.005,0.15,100,1024,0.10804597701149428,0.15507473050576498,0.14996144391454536,0.9617957041099572,0.24221590604386756,0.7390804597701149
mf_5_no_filtering_f1024_lr0p005_reg0p15_ep100_bs2048.csv,mf,no_filtering,f1024_lr0.005_reg0.15_ep100_bs2048,1024,0.005,0.15,100,2048,0.08160919540229884,0.12772602557085314,0.12216309877511707,0.9501723778060877,0.3219287519360887,0.6482758620689655
mf_5_no_filtering_f1024_lr0p005_reg0p15_ep100_bs512.csv,mf,no_filtering,f1024_lr0.005_reg0.15_ep100_bs512,1024,0.005,0.15,100,512,0.10229885057471262,0.14768556794418863,0.14480783653026302,0.9487744021956876,0.2796947366447282,0.7045977011494253
mf_5_no_filtering_f1024_lr0p005_reg0p15_ep150_bs1024.csv,mf,no_filtering,f1024_lr0.005_reg0.15_ep150_bs1024,1024,0.005,0.15,150,1024,0.09425287356321839,0.1409912565084979,0.12855156638671944,0.9643471835361801,0.23625575156780187,0.7436781609195402
mf_5_no_filtering_f1024_lr0p005_reg0p15_ep150_bs2048.csv,mf,no_filtering,f1024_lr0.005_reg0.15_ep150_bs2048,1024,0.005,0.15,150,2048,0.08275862068965516,0.11656336958061096,0.10796914685066432,0.9581451812186165,0.25972245137399397,0.7206896551724138
mf_5_no_filtering_f1024_lr0p005_reg0p15_ep150_bs512.csv,mf,no_filtering,f1024_lr0.005_reg0.15_ep150_bs512,1024,0.005,0.15,150,512,0.08275862068965519,0.13489010989010988,0.1287066253140504,0.9561421439144756,0.2470584022630431,0.7379310344827587
mf_5_no_filtering_f1024_lr0p005_reg0p15_ep200_bs1024.csv,mf,no_filtering,f1024_lr0.005_reg0.15_ep200_bs1024,1024,0.005,0.15,200,1024,0.09885057471264368,0.14146527163768544,0.14171387035975086,0.9613456264979594,0.23450391368732793,0.7494252873563219
mf_5_no_filtering_f1024_lr0p005_reg0p15_ep200_bs2048.csv,mf,no_filtering,f1024_lr0.005_reg0.15_ep200_bs2048,1024,0.005,0.15,200,2048,0.09310344827586205,0.13636531093427645,0.12716983524194506,0.9613204355868401,0.24052524821180743,0.7425287356321839
mf_5_no_filtering_f1024_lr0p005_reg0p15_ep200_bs512.csv,mf,no_filtering,f1024_lr0.005_reg0.15_ep200_bs512,1024,0.005,0.15,200,512,0.08275862068965519,0.12133208426311874,0.11420298274995393,0.9555493178061356,0.26615663229478503,0.7149425287356321
mf_5_no_filtering_f1024_lr0p005_reg0p15_ep250_bs1024.csv,mf,no_filtering,f1024_lr0.005_reg0.15_ep250_bs1024,1024,0.005,0.15,250,1024,0.0896551724137931,0.14700629829940176,0.13707691779711553,0.9559279012132422,0.2669919059762722,0.7149425287356321
mf_5_no_filtering_f1024_lr0p005_reg0p15_ep250_bs2048.csv,mf,no_filtering,f1024_lr0.005_reg0.15_ep250_bs2048,1024,0.005,0.15,250,2048,0.09425287356321839,0.13588269967580313,0.12722534271414399,0.9631888814515723,0.23192259477020327,0.7482758620689656
