filename,recommender,strategy,config,n_factors,learning_rate,hidden_dims,regularization,epochs,batch_size,precision,recall,ndcg,epc,gini,aggregate_diversity
mlp_5_no_filtering_f256_lr0p005_hd128-64_reg0p01_ep100_bs2048.csv,mlp,no_filtering,f256_lr0.005_hd128-64_reg0.01_ep100_bs2048,256,0.005,"(128, 64)",0.01,100,2048,0.0012048192771084338,0.00040160642570281126,0.0007903920332068782,0.9996979778852414,0.5353778751369114,0.01325301204819277
mlp_5_no_filtering_f256_lr0p005_hd128-64_reg0p01_ep250_bs2048.csv,mlp,no_filtering,f256_lr0.005_hd128-64_reg0.01_ep250_bs2048,256,0.005,"(128, 64)",0.01,250,2048,0.0012048192771084338,0.00040160642570281126,0.0010215668833542654,0.9997568231598906,0.5573679332715478,0.01566265060240964
mlp_5_no_filtering_f256_lr0p005_hd128-64_reg0p1_ep100_bs2048.csv,mlp,no_filtering,f256_lr0.005_hd128-64_reg0.1_ep100_bs2048,256,0.005,"(128, 64)",0.1,100,2048,0.0012048192771084338,0.00040160642570281126,0.0008799298183295569,0.9997382139704718,0.6558021559923908,0.02289156626506024
mlp_5_no_filtering_f256_lr0p005_hd128-64_reg0p1_ep250_bs2048.csv,mlp,no_filtering,f256_lr0.005_hd128-64_reg0.1_ep250_bs2048,256,0.005,"(128, 64)",0.1,250,2048,0.0012048192771084338,0.00040160642570281126,0.0007903920332068782,0.9997605952928811,0.7184337349397589,0.024096385542168676
mlp_5_no_filtering_f256_lr0p005_hd256-128-64_reg0p01_ep250_bs2048.csv,mlp,no_filtering,f256_lr0.005_hd256-128-64_reg0.01_ep250_bs2048,256,0.005,"(256, 128, 64)",0.01,250,2048,0.0012048192771084338,0.00040160642570281126,0.0007903920332068782,0.999744500858789,0.7076923076923076,0.03132530120481928
mlp_5_no_filtering_f256_lr0p005_hd256-128-64_reg0p1_ep250_bs2048.csv,mlp,no_filtering,f256_lr0.005_hd256-128-64_reg0.1_ep250_bs2048,256,0.005,"(256, 128, 64)",0.1,250,2048,0.0012048192771084338,0.0008605851979345954,0.0010215668833542654,0.9997517936492369,0.7061476675934508,0.09397590361445783
mlp_5_no_filtering_f256_lr0p005_hd256-128_reg0p01_ep100_bs2048.csv,mlp,no_filtering,f256_lr0.005_hd256-128_reg0.01_ep100_bs2048,256,0.005,"(256, 128)",0.01,100,2048,0.0012048192771084338,0.00040160642570281126,0.0008799298183295569,0.9996944572277839,0.5658634538152612,0.014457831325301205
mlp_5_no_filtering_f256_lr0p005_hd256-128_reg0p01_ep250_bs2048.csv,mlp,no_filtering,f256_lr0.005_hd256-128_reg0.01_ep250_bs2048,256,0.005,"(256, 128)",0.01,250,2048,0.0012048192771084338,0.00040160642570281126,0.0008799298183295569,0.9997716602163194,0.5443929564411492,0.01566265060240964
mlp_5_no_filtering_f256_lr0p005_hd256-128_reg0p1_ep100_bs2048.csv,mlp,no_filtering,f256_lr0.005_hd256-128_reg0.1_ep100_bs2048,256,0.005,"(256, 128)",0.1,100,2048,0.0012048192771084338,0.00040160642570281126,0.0010215668833542654,0.9997887605525423,0.6302710843373494,0.01927710843373494
mlp_5_no_filtering_f256_lr0p005_hd256-128_reg0p1_ep250_bs2048.csv,mlp,no_filtering,f256_lr0.005_hd256-128_reg0.1_ep250_bs2048,256,0.005,"(256, 128)",0.1,250,2048,0.0036144578313253017,0.006802208835341365,0.006111422415318031,0.9997731690695155,0.7501771793054572,0.04096385542168675
mlp_5_no_filtering_f256_lr0p01_hd128-64_reg0p01_ep100_bs2048.csv,mlp,no_filtering,f256_lr0.01_hd128-64_reg0.01_ep100_bs2048,256,0.01,"(128, 64)",0.01,100,2048,0.0012048192771084338,0.00040160642570281126,0.0008799298183295569,0.9996909365703263,0.47421686746987946,0.012048192771084338
mlp_5_no_filtering_f256_lr0p01_hd128-64_reg0p01_ep250_bs2048.csv,mlp,no_filtering,f256_lr0.01_hd128-64_reg0.01_ep250_bs2048,256,0.01,"(128, 64)",0.01,250,2048,0.0012048192771084338,0.00040160642570281126,0.0010215668833542654,0.9997666307056654,0.7757575757575759,0.03975903614457831
mlp_5_no_filtering_f256_lr0p01_hd128-64_reg0p1_ep100_bs2048.csv,mlp,no_filtering,f256_lr0.01_hd128-64_reg0.1_ep100_bs2048,256,0.01,"(128, 64)",0.1,100,2048,0.0,0.0,0.0,0.9997515421737043,0.8076772205099467,0.051807228915662654
mlp_5_no_filtering_f256_lr0p01_hd128-64_reg0p1_ep250_bs2048.csv,mlp,no_filtering,f256_lr0.01_hd128-64_reg0.1_ep250_bs2048,256,0.01,"(128, 64)",0.1,250,2048,0.0024096385542168677,0.000831899024670109,0.002310640767297203,0.999740477250266,0.794300278035218,0.06265060240963856
mlp_5_no_filtering_f256_lr0p01_hd256-128-64_reg0p01_ep250_bs2048.csv,mlp,no_filtering,f256_lr0.01_hd256-128-64_reg0.01_ep250_bs2048,256,0.01,"(256, 128, 64)",0.01,250,2048,0.0,0.0,0.0,0.9997875031748786,0.7004337349397589,0.030120481927710843
mlp_5_no_filtering_f256_lr0p01_hd256-128-64_reg0p1_ep250_bs2048.csv,mlp,no_filtering,f256_lr0.01_hd256-128-64_reg0.1_ep250_bs2048,256,0.01,"(256, 128, 64)",0.1,250,2048,0.0024096385542168677,0.0007186641302050306,0.0020794659171498153,0.9997643674258712,0.7305722891566266,0.0963855421686747
mlp_5_no_filtering_f256_lr0p01_hd256-128_reg0p01_ep100_bs2048.csv,mlp,no_filtering,f256_lr0.01_hd256-128_reg0.01_ep100_bs2048,256,0.01,"(256, 128)",0.01,100,2048,0.0024096385542168677,0.00642570281124498,0.0032103684161280004,0.999774426447179,0.7334480780263912,0.02530120481927711
mlp_5_no_filtering_f256_lr0p01_hd256-128_reg0p01_ep250_bs2048.csv,mlp,no_filtering,f256_lr0.01_hd256-128_reg0.01_ep250_bs2048,256,0.01,"(256, 128)",0.01,250,2048,0.0024096385542168677,0.000831899024670109,0.0018119589165611436,0.9997077854310166,0.7645438898450947,0.04216867469879518
mlp_5_no_filtering_f256_lr0p01_hd256-128_reg0p1_ep100_bs2048.csv,mlp,no_filtering,f256_lr0.01_hd256-128_reg0.1_ep100_bs2048,256,0.01,"(256, 128)",0.1,100,2048,0.0012048192771084338,0.00040160642570281126,0.0010215668833542654,0.9997482729917793,0.7488057493130416,0.06867469879518072
mlp_5_no_filtering_f256_lr0p01_hd256-128_reg0p1_ep250_bs2048.csv,mlp,no_filtering,f256_lr0.01_hd256-128_reg0.1_ep250_bs2048,256,0.01,"(256, 128)",0.1,250,2048,0.0036144578313253017,0.007931726907630521,0.007916842687432674,0.9996763509894305,0.7548045841904203,0.04939759036144578
mlp_5_no_filtering_f512_lr0p005_hd128-64_reg0p01_ep100_bs2048.csv,mlp,no_filtering,f512_lr0.005_hd128-64_reg0.01_ep100_bs2048,512,0.005,"(128, 64)",0.01,100,2048,0.0012048192771084338,0.00040160642570281126,0.001289073883942937,0.9997349447885467,0.4679518072289155,0.012048192771084338
mlp_5_no_filtering_f512_lr0p005_hd128-64_reg0p01_ep250_bs2048.csv,mlp,no_filtering,f512_lr0.005_hd128-64_reg0.01_ep250_bs2048,512,0.005,"(128, 64)",0.01,250,2048,0.0012048192771084338,0.00040160642570281126,0.0007903920332068782,0.9997331844598181,0.6604819277108434,0.024096385542168676
mlp_5_no_filtering_f512_lr0p005_hd128-64_reg0p1_ep100_bs2048.csv,mlp,no_filtering,f512_lr0.005_hd128-64_reg0.1_ep100_bs2048,512,0.005,"(128, 64)",0.1,100,2048,0.0,0.0,0.0,0.9996363663797332,0.7138816134101624,0.027710843373493974
mlp_5_no_filtering_f512_lr0p005_hd128-64_reg0p1_ep250_bs2048.csv,mlp,no_filtering,f512_lr0.005_hd128-64_reg0.1_ep250_bs2048,512,0.005,"(128, 64)",0.1,250,2048,0.0,0.0,0.0,0.9997548113556289,0.7083607155896312,0.03975903614457831
mlp_5_no_filtering_f512_lr0p005_hd256-128-64_reg0p01_ep250_bs2048.csv,mlp,no_filtering,f512_lr0.005_hd256-128-64_reg0.01_ep250_bs2048,512,0.005,"(256, 128, 64)",0.01,250,2048,0.0024096385542168677,0.00642570281124498,0.004033615076125349,0.9996901821437285,0.728177225029149,0.03734939759036145
mlp_5_no_filtering_f512_lr0p005_hd256-128-64_reg0p1_ep250_bs2048.csv,mlp,no_filtering,f512_lr0.005_hd256-128-64_reg0.1_ep250_bs2048,512,0.005,"(256, 128, 64)",0.1,250,2048,0.004819277108433735,0.002744310575635877,0.005156295535771748,0.9997173415012588,0.6797016637980493,0.12650602409638553
mlp_5_no_filtering_f512_lr0p005_hd256-128_reg0p01_ep100_bs2048.csv,mlp,no_filtering,f512_lr0.005_hd256-128_reg0.01_ep100_bs2048,512,0.005,"(256, 128)",0.01,100,2048,0.0012048192771084338,0.00040160642570281126,0.0007903920332068782,0.9997077854310163,0.49590361445783127,0.012048192771084338
mlp_5_no_filtering_f512_lr0p005_hd256-128_reg0p01_ep250_bs2048.csv,mlp,no_filtering,f512_lr0.005_hd256-128_reg0.01_ep250_bs2048,512,0.005,"(256, 128)",0.01,250,2048,0.0,0.0,0.0,0.9997020014937646,0.6450301204819278,0.01927710843373494
