filename,recommender,strategy,config,n_factors,learning_rate,regularization,epochs,batch_size,precision,recall,ndcg,epc,gini,aggregate_diversity
bprmf_5_exclude_seen_f128_lr0p005_reg0p01_ep50_bs4096.csv,bprmf,exclude_seen,f128_lr0.005_reg0.01_ep50_bs4096,128,0.005,0.01,50,4096,0.42135076252723314,0.08514568858186854,0.43159765284826707,0.7724224130561851,0.5777499448139511,0.19782135076252724
bprmf_5_exclude_seen_f128_lr0p005_reg0p1_ep50_bs4096.csv,bprmf,exclude_seen,f128_lr0.005_reg0.1_ep50_bs4096,128,0.005,0.1,50,4096,0.48061002178649237,0.1033748299448406,0.5012109893711926,0.7575757155696023,0.5953039215686275,0.17429193899782136
bprmf_5_exclude_seen_f128_lr0p01_reg0p01_ep50_bs4096.csv,bprmf,exclude_seen,f128_lr0.01_reg0.01_ep50_bs4096,128,0.01,0.01,50,4096,0.3782135076252724,0.07702791884573813,0.3951541872558699,0.7943784842793015,0.5282147891836473,0.2222222222222222
bprmf_5_exclude_seen_f128_lr0p01_reg0p1_ep50_bs4096.csv,bprmf,exclude_seen,f128_lr0.01_reg0.1_ep50_bs4096,128,0.01,0.1,50,4096,0.41655773420479303,0.08318884241766235,0.43514605403000695,0.7762127544549102,0.5642535066461041,0.19389978213507625
bprmf_5_exclude_seen_f16_lr0p005_reg0p01_ep50_bs4096.csv,bprmf,exclude_seen,f16_lr0.005_reg0.01_ep50_bs4096,16,0.005,0.01,50,4096,0.4980392156862746,0.09637645297618865,0.5226663007007533,0.7234580223040082,0.6676917395960267,0.12854030501089325
bprmf_5_exclude_seen_f16_lr0p005_reg0p1_ep50_bs4096.csv,bprmf,exclude_seen,f16_lr0.005_reg0.1_ep50_bs4096,16,0.005,0.1,50,4096,0.5172113289760348,0.10234705655969616,0.5356002577038539,0.7067843091048132,0.6825656188401286,0.10980392156862745
bprmf_5_exclude_seen_f16_lr0p01_reg0p01_ep50_bs4096.csv,bprmf,exclude_seen,f16_lr0.01_reg0.01_ep50_bs4096,16,0.01,0.01,50,4096,0.477124183006536,0.09269516925405431,0.4938366524691094,0.7543426278252553,0.624549041558969,0.17298474945533768
bprmf_5_exclude_seen_f16_lr0p01_reg0p1_ep50_bs4096.csv,bprmf,exclude_seen,f16_lr0.01_reg0.1_ep50_bs4096,16,0.01,0.1,50,4096,0.5163398692810458,0.10187423908807361,0.5389693021160494,0.7344931232773538,0.6518064337569991,0.13376906318082787
bprmf_5_exclude_seen_f264_lr0p005_reg0p01_ep50_bs4096.csv,bprmf,exclude_seen,f264_lr0.005_reg0.01_ep50_bs4096,264,0.005,0.01,50,4096,0.4209150326797386,0.08481738961071036,0.44129044294703895,0.7700880470015271,0.5509039845532735,0.18387799564270152
bprmf_5_exclude_seen_f264_lr0p005_reg0p1_ep50_bs4096.csv,bprmf,exclude_seen,f264_lr0.005_reg0.1_ep50_bs4096,264,0.005,0.1,50,4096,0.4492374727668845,0.09006847649224398,0.46945854066340764,0.761158126500276,0.5851649434563284,0.17821350762527233
bprmf_5_exclude_seen_f264_lr0p01_reg0p01_ep50_bs4096.csv,bprmf,exclude_seen,f264_lr0.01_reg0.01_ep50_bs4096,264,0.01,0.01,50,4096,0.359041394335512,0.07267543656739177,0.374997615630711,0.7973712968161224,0.5194550380728584,0.22178649237472767
bprmf_5_exclude_seen_f264_lr0p01_reg0p1_ep50_bs4096.csv,bprmf,exclude_seen,f264_lr0.01_reg0.1_ep50_bs4096,264,0.01,0.1,50,4096,0.40435729847494556,0.08380136341896284,0.4272834177994042,0.7800779508221339,0.559196807825975,0.1991285403050109
bprmf_5_exclude_seen_f64_lr0p005_reg0p01_ep50_bs4096.csv,bprmf,exclude_seen,f64_lr0.005_reg0.01_ep50_bs4096,64,0.005,0.01,50,4096,0.46187363834422657,0.0985002683339077,0.4885053173671976,0.7606336796530796,0.604256184132345,0.18213507625272332
bprmf_5_exclude_seen_f64_lr0p005_reg0p1_ep50_bs4096.csv,bprmf,exclude_seen,f64_lr0.005_reg0.1_ep50_bs4096,64,0.005,0.1,50,4096,0.4854030501089325,0.09538121495755693,0.4993864425390784,0.7496105924401103,0.6232570806100217,0.16383442265795206
bprmf_5_exclude_seen_f64_lr0p01_reg0p01_ep50_bs4096.csv,bprmf,exclude_seen,f64_lr0.01_reg0.01_ep50_bs4096,64,0.01,0.01,50,4096,0.3934640522875817,0.08590898248147488,0.4125851641165336,0.7870431594341519,0.5586220258854531,0.220479302832244
bprmf_5_exclude_seen_f64_lr0p01_reg0p1_ep50_bs4096.csv,bprmf,exclude_seen,f64_lr0.01_reg0.1_ep50_bs4096,64,0.01,0.1,50,4096,0.4440087145969499,0.09199975422492505,0.4599088662974362,0.7676178330410754,0.5810031803270479,0.1895424836601307
