filename,recommender,strategy,config,n_factors,learning_rate,hidden_dims,regularization,epochs,batch_size,precision,recall,ndcg,epc,gini,aggregate_diversity
mlp_5_exclude_seen_f256_lr0p01_hd512-256_reg0p1_ep200_bs4096.csv,mlp,exclude_seen,f256_lr0.01_hd512-256_reg0.1_ep200_bs4096,256,0.01,"(512, 256)",0.1,200,4096,0.1411764705882353,0.0155799073266002,0.148213097523758,0.8399734773136308,0.6371827428777597,0.1368191721132897
mlp_5_exclude_seen_f256_lr0p01_hd512-256_reg0p01_ep200_bs2048.csv,mlp,exclude_seen,f256_lr0.01_hd512-256_reg0.01_ep200_bs2048,256,0.01,"(512, 256)",0.01,200,2048,0.1324618736383442,0.0153644023572136,0.1342469169230908,0.8543659622444476,0.6069145544396621,0.1429193899782135
mlp_5_exclude_seen_f256_lr0p01_hd512-256_reg0p1_ep150_bs4096.csv,mlp,exclude_seen,f256_lr0.01_hd512-256_reg0.1_ep150_bs4096,256,0.01,"(512, 256)",0.1,150,4096,0.1289760348583878,0.0136366214711735,0.1315008713380553,0.8531303931965151,0.6209811341117113,0.1407407407407407
mlp_5_exclude_seen_f512_lr0p01_hd256-128-64_reg0p01_ep150_bs2048.csv,mlp,exclude_seen,f512_lr0.01_hd256-128-64_reg0.01_ep150_bs2048,512,0.01,"(256, 128, 64)",0.01,150,2048,0.1259259259259259,0.0145995226690132,0.1310966502227277,0.85235596771995,0.6388630802748452,0.1416122004357298
mlp_5_exclude_seen_f256_lr0p01_hd512-256_reg0p01_ep200_bs4096.csv,mlp,exclude_seen,f256_lr0.01_hd512-256_reg0.01_ep200_bs4096,256,0.01,"(512, 256)",0.01,200,4096,0.1211328976034858,0.0129250222185699,0.1227918414559022,0.8583448272675396,0.616119478387168,0.1503267973856209
mlp_5_exclude_seen_f512_lr0p01_hd512-256_reg0p1_ep150_bs2048.csv,mlp,exclude_seen,f512_lr0.01_hd512-256_reg0.1_ep150_bs2048,512,0.01,"(512, 256)",0.1,150,2048,0.1202614379084967,0.0132956663775134,0.1198561852559708,0.8703225463627186,0.6420987208789446,0.1420479302832244
mlp_5_exclude_seen_f512_lr0p01_hd512-256_reg0p1_ep200_bs4096.csv,mlp,exclude_seen,f512_lr0.01_hd512-256_reg0.1_ep200_bs4096,512,0.01,"(512, 256)",0.1,200,4096,0.1193899782135076,0.0125094728362295,0.1180449296523941,0.85876392267759,0.6748273456078147,0.1333333333333333
mlp_5_exclude_seen_f512_lr0p01_hd512-256_reg0p01_ep200_bs4096.csv,mlp,exclude_seen,f512_lr0.01_hd512-256_reg0.01_ep200_bs4096,512,0.01,"(512, 256)",0.01,200,4096,0.118954248366013,0.0125558226992279,0.1205200528421017,0.8619087554899418,0.642108407837308,0.1302832244008714
mlp_5_exclude_seen_f512_lr0p005_hd512-256_reg0p1_ep150_bs4096.csv,mlp,exclude_seen,f512_lr0.005_hd512-256_reg0.1_ep150_bs4096,512,0.005,"(512, 256)",0.1,150,4096,0.1159041394335512,0.012511999227489,0.1208074629412497,0.865021705630526,0.6333098921706517,0.1376906318082788
mlp_5_exclude_seen_f256_lr0p01_hd512-256_reg0p1_ep200_bs2048.csv,mlp,exclude_seen,f256_lr0.01_hd512-256_reg0.1_ep200_bs2048,256,0.01,"(512, 256)",0.1,200,2048,0.1154684095860566,0.0132290291838475,0.1173287671350593,0.8597102373410775,0.6138661537354346,0.1450980392156863
mlp_5_exclude_seen_f256_lr0p01_hd512-256_reg0p01_ep150_bs4096.csv,mlp,exclude_seen,f256_lr0.01_hd512-256_reg0.01_ep150_bs4096,256,0.01,"(512, 256)",0.01,150,4096,0.1154684095860566,0.0131655000942855,0.1198816392612505,0.859608120377879,0.6063018055242533,0.1516339869281045
mlp_5_exclude_seen_f512_lr0p01_hd256-128-64_reg0p1_ep150_bs2048.csv,mlp,exclude_seen,f512_lr0.01_hd256-128-64_reg0.1_ep150_bs2048,512,0.01,"(256, 128, 64)",0.1,150,2048,0.1132897603485838,0.013435430073,0.1161518460393842,0.8634834822346519,0.7266401439802974,0.1002178649237472
mlp_5_exclude_seen_f512_lr0p005_hd512-256_reg0p1_ep200_bs2048.csv,mlp,exclude_seen,f512_lr0.005_hd512-256_reg0.1_ep200_bs2048,512,0.005,"(512, 256)",0.1,200,2048,0.1124183006535947,0.0126701444299808,0.1162851828727827,0.8726938778339189,0.6182330878905711,0.1376906318082788
mlp_5_exclude_seen_f256_lr0p01_hd512-256_reg0p1_ep150_bs2048.csv,mlp,exclude_seen,f256_lr0.01_hd512-256_reg0.1_ep150_bs2048,256,0.01,"(512, 256)",0.1,150,2048,0.1119825708061002,0.0127692047830388,0.1131705063697912,0.8633236068081055,0.6711567589998964,0.1372549019607843
mlp_5_exclude_seen_f512_lr0p01_hd512-256_reg0p1_ep200_bs2048.csv,mlp,exclude_seen,f512_lr0.01_hd512-256_reg0.1_ep200_bs2048,512,0.01,"(512, 256)",0.1,200,2048,0.110239651416122,0.0114862980191096,0.1125167326827531,0.8581863380441137,0.6371098754593048,0.1459694989106753
mlp_5_exclude_seen_f512_lr0p01_hd512-256_reg0p01_ep150_bs4096.csv,mlp,exclude_seen,f512_lr0.01_hd512-256_reg0.01_ep150_bs4096,512,0.01,"(512, 256)",0.01,150,4096,0.1098039215686274,0.0126419481647228,0.11206467081226,0.8674461748880065,0.5896750970919769,0.1503267973856209
mlp_5_exclude_seen_f256_lr0p01_hd512-256_reg0p01_ep150_bs2048.csv,mlp,exclude_seen,f256_lr0.01_hd512-256_reg0.01_ep150_bs2048,256,0.01,"(512, 256)",0.01,150,2048,0.1089324618736383,0.0126936290289479,0.1133468914497125,0.858991722057033,0.6249271596188677,0.1446623093681917
mlp_5_exclude_seen_f256_lr0p005_hd512-256_reg0p1_ep150_bs4096.csv,mlp,exclude_seen,f256_lr0.005_hd512-256_reg0.1_ep150_bs4096,256,0.005,"(512, 256)",0.1,150,4096,0.1067538126361655,0.0100526087606365,0.1079776310720984,0.8661916610640957,0.6167348290843302,0.1490196078431372
